"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"2149",2019-01-10,68.994003,2019.02465753425,0,0,0,0,0,0,0,0
"2150",2019-01-11,69.452003,2019.02739726027,0,0,0,0,0,0,0,0
"2151",2019-01-14,66.879997,2019.03561643836,0,0,0,0,0,0,0,0
"2152",2019-01-15,68.886002,2019.03835616438,0,0,0,0,0,0,0,0
"2153",2019-01-16,69.209999,2019.04109589041,0,0,0,0,0,0,0,0
"2154",2019-01-17,69.461998,2019.04383561644,0,0,0,0,0,0,0,0
"2155",2019-01-18,60.452,2019.04657534247,0,0,0,0,0,0,0,0
"2156",2019-01-22,59.784,2019.05753424658,0,0,0,0,0,0,0,0
"2157",2019-01-23,57.518002,2019.0602739726,0,0,0,0,0,0,0,0
"2158",2019-01-24,58.301998,2019.06301369863,0,0,0,0,0,0,0,0
"2159",2019-01-25,59.408001,2019.06575342466,0,0,0,0,0,0,0,0
"2160",2019-01-28,59.276001,2019.07397260274,0,0,0,0,0,0,0,0
"2161",2019-01-29,59.492001,2019.07671232877,0,0,0,0,0,0,0,0
"2162",2019-01-30,61.754002,2019.07945205479,0,0,0,0,0,0,0,0
"2163",2019-01-31,61.403999,2019.08219178082,0,0,0,0,0,0,0,0
"2164",2019-02-01,62.442001,2019.08493150685,0,0,0,0,0,0,0,0
"2165",2019-02-04,62.577999,2019.09315068493,0,0,0,0,0,0,0,0
"2166",2019-02-05,64.269997,2019.09589041096,0,0,0,0,0,0,0,0
"2167",2019-02-06,63.444,2019.09863013699,0,0,0,0,0,0,0,0
"2168",2019-02-07,61.501999,2019.10136986301,0,0,0,0,0,0,0,0
"2169",2019-02-08,61.16,2019.10410958904,0,0,0,0,0,0,0,0
"2170",2019-02-11,62.568001,2019.11232876712,0,0,0,0,0,0,0,0
"2171",2019-02-12,62.362,2019.11506849315,0,0,0,0,0,0,0,0
"2172",2019-02-13,61.633999,2019.11780821918,0,0,0,0,0,0,0,0
"2173",2019-02-14,60.754002,2019.12054794521,0,0,0,0,0,0,0,0
"2174",2019-02-15,61.576,2019.12328767123,0,0,0,0,0,0,0,0
"2175",2019-02-19,61.127998,2019.13424657534,0,0,0,0,0,0,0,0
"2176",2019-02-20,60.512001,2019.13698630137,0,0,0,0,0,0,0,0
"2177",2019-02-21,58.245998,2019.1397260274,0,0,0,0,0,0,0,0
"2178",2019-02-22,58.942001,2019.14246575342,0,0,0,0,0,0,0,0
"2179",2019-02-25,59.754002,2019.15068493151,0,0,0,0,0,0,0,0
"2180",2019-02-26,59.571999,2019.15342465753,0,0,0,0,0,0,0,0
"2181",2019-02-27,62.948002,2019.15616438356,0,0,0,0,0,0,0,0
"2182",2019-02-28,63.976002,2019.15890410959,0,0,0,0,0,0,0,0
"2183",2019-03-01,58.958,2019.16164383562,0,0,0,0,0,0,0,0
"2184",2019-03-04,57.071999,2019.1698630137,0,0,0,0,0,0,0,0
"2185",2019-03-05,55.307999,2019.17260273973,0,0,0,0,0,0,0,0
"2186",2019-03-06,55.248001,2019.17534246575,0,0,0,0,0,0,0,0
"2187",2019-03-07,55.318001,2019.17808219178,0,0,0,0,0,0,0,0
"2188",2019-03-08,56.827999,2019.18082191781,0,0,0,0,0,0,0,0
"2189",2019-03-11,58.183998,2019.18904109589,0,0,0,0,0,0,0,0
"2190",2019-03-12,56.672001,2019.19178082192,0,0,0,0,0,0,0,0
"2191",2019-03-13,57.792,2019.19452054795,0,0,0,0,0,0,0,0
"2192",2019-03-14,57.992001,2019.19726027397,0,0,0,0,0,0,0,0
"2193",2019-03-15,55.085999,2019.2,0,0,0,0,0,0,0,0
"2194",2019-03-18,53.897999,2019.20821917808,0,0,0,0,0,0,0,0
"2195",2019-03-19,53.493999,2019.21095890411,0,0,0,0,0,0,0,0
"2196",2019-03-20,54.720001,2019.21369863014,0,0,0,0,0,0,0,0
"2197",2019-03-21,54.804001,2019.21643835616,0,0,0,0,0,0,0,0
"2198",2019-03-22,52.905998,2019.21917808219,0,0,0,0,0,0,0,0
"2199",2019-03-25,52.084,2019.22739726027,0,0,0,0,0,0,0,0
"2200",2019-03-26,53.554001,2019.2301369863,0,0,0,0,0,0,0,0
"2201",2019-03-27,54.966,2019.23287671233,0,0,0,0,0,0,0,0
"2202",2019-03-28,55.723999,2019.23561643836,0,0,0,0,0,0,0,0
