"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"8473",2019-10-22,134.173859,2019.80547945205,0,0,0,0,0,0,0,0
"8474",2019-10-23,135.029846,2019.80821917808,0,0,0,0,0,0,0,0
"8475",2019-10-24,137.686371,2019.81095890411,0,0,0,0,0,0,0,0
"8476",2019-10-25,138.463623,2019.81369863014,0,0,0,0,0,0,0,0
"8477",2019-10-28,141.867935,2019.82191780822,0,0,0,0,0,0,0,0
"8478",2019-10-29,140.529831,2019.82465753425,0,0,0,0,0,0,0,0
"8479",2019-10-30,142.281174,2019.82739726027,0,0,0,0,0,0,0,0
"8480",2019-10-31,141.061111,2019.8301369863,0,0,0,0,0,0,0,0
"8481",2019-11-01,141.405502,2019.83287671233,0,0,0,0,0,0,0,0
"8482",2019-11-04,142.222137,2019.84109589041,0,0,0,0,0,0,0,0
"8483",2019-11-05,142.133606,2019.84383561644,0,0,0,0,0,0,0,0
"8484",2019-11-06,141.740005,2019.84657534247,0.0693069306930693,0.0693069306930693,0.0319634703196347,0.0319634703196347,0,0,0.542574257425743,0.542574257425743
"8485",2019-11-07,141.936783,2019.84931506849,0.0891089108910891,0.0792079207920792,0.0545454545454545,0.05,0,0,0.532673267326733,0.532673267326733
"8486",2019-11-08,143.609436,2019.85205479452,0.171717171717172,0.171717171717172,0.091324200913242,0.091324200913242,0,0,0.538613861386139,0.538613861386139
"8487",2019-11-11,143.757004,2019.8602739726,0.202020202020202,0.191919191919192,0.155251141552511,0.150684931506849,0,0,0.543478260869565,0.543478260869565
"8488",2019-11-12,144.701553,2019.86301369863,0.161616161616162,0.161616161616162,0.165137614678899,0.165137614678899,0,0,0.564356435643564,0.564356435643564
"8489",2019-11-13,144.937683,2019.86575342466,0.24,0.24,0.215596330275229,0.215596330275229,0,0,0.568316831683168,0.568316831683168
"8490",2019-11-14,145.675598,2019.86849315069,0.244897959183673,0.244897959183673,0.229357798165138,0.229357798165138,0,0,0.569444444444444,0.569444444444444
"8491",2019-11-15,147.55484,2019.87123287671,0.237113402061856,0.206185567010309,0.188940092165899,0.175115207373272,0.00393700787401575,0.00393700787401575,0.574257425742574,0.574257425742574
"8492",2019-11-18,147.9189,2019.87945205479,0.237113402061856,0.216494845360825,0.19815668202765,0.188940092165899,0,0,0.58102766798419,0.58102766798419
"8493",2019-11-19,147.968063,2019.88219178082,0.0412371134020619,0.0412371134020619,0.124423963133641,0.124423963133641,0,0,0.58019801980198,0.58019801980198
"8494",2019-11-20,147.711365,2019.88493150685,0.0537634408602151,0.0537634408602151,0.169014084507042,0.169014084507042,0,0,0.581349206349206,0.581349206349206
"8495",2019-11-21,147.573151,2019.88767123288,0.01,0.01,0.172727272727273,0.172727272727273,0,0,0.586138613861386,0.586138613861386
"8496",2019-11-22,147.681793,2019.8904109589,0.02,0.02,0.171945701357466,0.171945701357466,0,0,0.594059405940594,0.594059405940594
"8497",2019-11-25,149.300858,2019.89863013699,0.0918367346938776,0.0714285714285714,0.211009174311927,0.201834862385321,0,0,0.595238095238095,0.595238095238095
"8498",2019-11-26,150.090637,2019.90136986301,0.214285714285714,0.173469387755102,0.28110599078341,0.258064516129032,0,0,0.603174603174603,0.603174603174603
"8499",2019-11-27,150.376953,2019.90410958904,0.221052631578947,0.2,0.289719626168224,0.280373831775701,0.00790513833992095,0.00395256916996047,0.607142857142857,0.607142857142857
"8500",2019-11-29,149.448944,2019.9095890411,0.15625,0.114583333333333,0.263888888888889,0.24537037037037,0.00393700787401575,0,0.615841584158416,0.615841584158416
"8501",2019-12-02,147.642288,2019.91780821918,0.193548387096774,0.193548387096774,0.31924882629108,0.31924882629108,0,0,0.622529644268775,0.622529644268775
"8502",2019-12-03,147.40535,2019.92054794521,0.105263157894737,0.105263157894737,0.316279069767442,0.306976744186047,0,0,0.623762376237624,0.623762376237624
"8503",2019-12-04,147.938461,2019.92328767123,0.0306122448979592,0.0306122448979592,0.285714285714286,0.28110599078341,0,0,0.625742574257426,0.625742574257426
