"","date_from","date_to","t2","t1","price","fitted price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2","oscill","damp","rel_err"
"34","2005-05-21","2007-09-28",2007.7397260274,2005.83561643836,1526.75,1548.1321853213,-165,80,0.0655777223730638,23,0.101842636376236,2.35779849003384,2007.80530374977,7.76254583928208,-0.536969956726159,-0.0208554274863957,-0.0448489638955991,0.0399178974304936,0.0204256382526337,-0.0138116018283402
"35","2005-05-21","2007-09-28",2007.7397260274,2005.84931506849,1526.75,1509.54036976262,-170,80,0.00200071213112096,0,1.42651954204029,7.96143123822812,2007.74172673953,7.31957976123402,-0.106237832239313,-0.0163107391910366,-0.0262662132707541,0.00421075347772408,0.0187525054793893,0.0114005763489995
"36","2005-05-21","2007-09-28",2007.7397260274,2005.86849315069,1526.75,1509.36993607076,-175,80,0.00200078815464622,0,1.43272909419997,7.98145829478283,2007.74172681555,7.31946597792699,-0.106145176113199,-0.0164385546589849,-0.0262884077265778,0.00426474867794187,0.0188284449175485,0.0115147807796433
"37","2005-05-21","2007-09-28",2007.7397260274,2005.87671232877,1526.75,1519.4132657738,-180,80,0.00201736857434298,0,0.395409584981633,2.01356347245299,2007.74174339597,7.33876328033906,-0.0938876383836953,-0.0507667573228458,-0.0431306658305764,0.0010896060330319,0.0261795147986341,0.00482866274203691
"38","2005-05-21","2007-09-28",2007.7397260274,2005.8904109589,1526.75,1519.69637324223,-185,80,0.00842936702474617,3,0.444623213552704,2.09902531779114,2007.74815539442,7.33451616797746,-0.0884164515359808,-0.0515385853140396,-0.0408812865287883,0.00477291645127211,0.0279286288036961,0.00464147107406987
"39","2005-05-21","2007-09-28",2007.7397260274,2005.90684931507,1526.75,1519.23772856901,-190,80,0.00207910920539689,0,0.398007057603392,2.03156344199773,2007.7418051366,7.33841246745522,-0.0931853513757201,-0.0514023010884379,-0.0424581169592472,0.00115159093742931,0.0264430700486685,0.0049447636072498
"40","2005-05-21","2007-09-28",2007.7397260274,2005.91780821918,1526.75,1518.06840448181,-195,80,0.00201405986854297,0,0.406892460243796,2.03304185453624,2007.74174008727,7.3364203168201,-0.0904220680541361,-0.0522634176232704,-0.0420436046184114,0.00112310401973738,0.0267134062467854,0.00571884342797744
"41","2005-05-21","2007-09-28",2007.7397260274,2005.93150684932,1526.75,1511.87811690748,-200,80,0.00312472311816236,1,0.402872877547971,2.00940647361973,2007.74285075052,7.33623672289263,-0.0899807023252945,-0.0520547970389386,-0.0427279417968997,0.00173469567574178,0.0262479878518091,0.00983669445718065
"42","2005-05-21","2007-09-28",2007.7397260274,2005.94520547945,1526.75,1508.81734388762,-205,80,0.00455345853561084,1,0.457631038699753,2.08152810338821,2007.74427948593,7.33040337000359,-0.0823608345415363,-0.0543382743644514,-0.0399183640762274,0.00263751428785302,0.0285789261290461,0.0118852399099391
"43","2005-05-21","2007-09-28",2007.7397260274,2005.96438356164,1526.75,1522.52610994392,-210,80,0.0105637401502463,3,0.444372159695887,2.18913312150875,2007.75028976755,7.33692140029836,-0.0911766472860774,-0.0518907957285274,-0.0388563942149004,0.00649364967429287,0.0287954049377424,0.00277426444675657
