"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"7445",2014-07-16,101.88,2014.53698630137,0,0,0,0,0,0,0,0
"7446",2014-07-17,103.84,2014.5397260274,0,0,0,0,0,0,0,0
"7447",2014-07-18,103.83,2014.54246575342,0,0,0,0,0,0,0,0
"7448",2014-07-21,105.34,2014.55068493151,0,0,0,0,0,0,0,0
"7449",2014-07-22,104.59,2014.55342465753,0,0,0,0,0,0,0,0
"7450",2014-07-23,103.81,2014.55616438356,0,0,0,0,0,0,0,0
"7451",2014-07-24,102.76,2014.55890410959,0,0,0,0,0,0,0,0
"7452",2014-07-25,105.23,2014.56164383562,0,0,0,0,0,0,0,0
"7453",2014-07-28,105.68,2014.5698630137,0,0,0,0,0,0,0,0
"7454",2014-07-29,104.91,2014.57260273973,0,0,0,0,0,0,0,0
"7455",2014-07-30,104.29,2014.57534246575,0,0,0,0,0,0,0,0
"7456",2014-07-31,98.23,2014.57808219178,0,0,0,0,0,0,0,0
"7457",2014-08-01,97.86,2014.58082191781,0,0,0,0,0,0,0,0
"7458",2014-08-04,98.26,2014.58904109589,0,0,0,0,0,0,0,0
"7459",2014-08-05,97.34,2014.59178082192,0,0,0,0,0,0,0,0
