"","Date","Close","t","P.SS_EW","P.SS_EF","P.S_EW","P.S_EF","P.M_EW","P.M_EF","P.L_EW","P.L_EF","N.SS_EW","N.SS_EF","N.S_EW","N.S_EF","N.M_EW","N.M_EF","N.L_EW","N.L_EF","P.SS_tc","P.S_tc","P.M_tc","P.L_tc","N.SS_tc","N.S_tc","N.M_tc","N.L_tc"
"2154",2020-08-09,11675.739258,2020.60382513661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2155",2020-08-10,11878.111328,2020.60655737705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2156",2020-08-11,11410.525391,2020.60928961749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2157",2020-08-12,11584.93457,2020.61202185792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2158",2020-08-13,11784.137695,2020.61475409836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2159",2020-08-14,11768.871094,2020.6174863388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2160",2020-08-15,11865.698242,2020.62021857923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2161",2020-08-16,11892.803711,2020.62295081967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2162",2020-08-17,12254.402344,2020.62568306011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2163",2020-08-18,11991.233398,2020.62841530055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2164",2020-08-19,11758.283203,2020.63114754098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2165",2020-08-20,11878.37207,2020.63387978142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2166",2020-08-21,11592.489258,2020.63661202186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2167",2020-08-22,11681.825195,2020.6393442623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2168",2020-08-23,11664.847656,2020.64207650273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2169",2020-08-24,11774.595703,2020.64480874317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2170",2020-08-25,11366.134766,2020.64754098361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2171",2020-08-26,11488.363281,2020.65027322404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
